School,W,L,W-L%,SOS,x,pf,y,pa,3P%,FT%,z,STL,h,BLK,l,TOV,KenPom,Quad1
Furman,27,7,0.794,-3.9,2791,82.08823529,2421,71.20588235,0.347,0.741,231,6.794117647,109,3.205882353,379,11.14705882,8.43,0
Gonzaga,28,5,0.848,7.53,2888,87.51515152,2406,72.90909091,0.387,0.701,252,7.636363636,110,3.333333333,349,10.57575758,24.31,6
Grand Canyon,24,11,0.686,1.02,2636,75.31428571,2339,66.82857143,0.383,0.716,172,4.914285714,115,3.285714286,423,12.08571429,5.99,1
Houston,31,2,0.939,4.44,2486,75.33333333,1846,55.93939394,0.348,0.721,278,8.424242424,158,4.787878788,328,9.939393939,28.82,7
Howard,22,12,0.647,-5.76,2566,75.47058824,2446,71.94117647,0.377,0.714,244,7.176470588,108,3.176470588,555,16.32352941,-3.21,0
Illinois,20,12,0.625,7.67,2389,74.65625,2143,66.96875,0.309,0.68,219,6.84375,181,5.65625,409,12.78125,16.48,2
Indiana,22,11,0.667,9.07,2476,75.03030303,2259,68.45454545,0.37,0.712,190,5.757575758,163,4.939393939,383,11.60606061,17.36,6
Iona,27,7,0.794,-3.42,2597,76.38235294,2210,65,0.36,0.731,254,7.470588235,189,5.558823529,361,10.61764706,11.71,0
Iowa St.,19,13,0.594,10.84,2190,68.4375,2008,62.75,0.339,0.674,282,8.8125,93,2.90625,419,13.09375,18.33,10
Kansas,27,7,0.794,12.81,2548,74.94117647,2310,67.94117647,0.344,0.717,299,8.794117647,128,3.764705882,420,12.35294118,23.14,17
Kansas St.,23,9,0.719,9.84,2416,75.5,2209,69.03125,0.34,0.75,246,7.6875,89,2.78125,459,14.34375,18.31,9
Kennesaw St.,26,8,0.765,-2.62,2559,75.26470588,2343,68.91176471,0.368,0.662,271,7.970588235,95,2.794117647,423,12.44117647,3.64,0
Kent St.,28,6,0.824,-1.29,2605,76.61764706,2234,65.70588235,0.336,0.725,303,8.911764706,134,3.941176471,389,11.44117647,11.9,0
Kentucky,21,11,0.656,8.21,2402,75.0625,2177,68.03125,0.354,0.703,207,6.46875,120,3.75,373,11.65625,17.8,6
Louisiana,26,7,0.788,-0.92,2575,78.03030303,2304,69.81818182,0.378,0.684,236,7.151515152,102,3.090909091,401,12.15151515,8.2,0
